CostResourceID	CostResourceTag	Produkt
#179062	IT-OPS,BACKUP	storagebox
#223630	IT-OPS,BACKUP	storagebox
#929826	IT-OPS	nexus1
#948032	IT-OPS	kvm1
#1040774	IT-OPS	kvm2
#1048599	IT-OPS	kvm3
#1115374	CPO	apm
#1195551	CPO	logstash
#1220689	IT-OPS	nexus2
#1253835	CPO	elastic
#1253836	CPO	elastic
#1257422	CPO	elastic
#1272408	IT-OPS	kvm5
#1272409	IT-OPS	gitlab
#1319239	CPO	gitlab-runner4
#1355647	CPO	db-prod-a4
#1355648	CPO	db-prod-a3
#1355649	CPO	db-prod-a2
#1355650	CPO	db-prod-a1
#1355655	CPO	gitlab-runner5
#1355656	CPO	gitlab-runner6
#1355658	CPO	gitlab-runner1
#1355659	CPO	elastic
#1455257	CPO	elastic
#1467411	CPO	elastic
#1508019	CPO	elastic
#1554166	CPO	elastic
#1554171	CPO	elastic
#1555820	CPO	elastic
#1555956	CPO	elastic
#1559571	CPO	elastic
#1559572	CPO	elastic
#1559573	CPO	elastic
#1559774	CPO	elastic
#1560713	CPO	elastic
#1560724	CPO	elastic
#1560727	CPO	elastic
#1560855	CPO	gitlab-runner7
#1560907	CPO	elastic
#1568277	BI	Log-archiv
#1580336	CPO	elastic
#1613003	CPO	elastic
#1613191	CPO	elastic
#1613198	CPO	elastic
#1613231	CPO	elastic
#1652676	CPO	gitlab-runner9
#1668351	CPO	v4update
#1670224	CPO	v4update
#1680642	CPO	accure
#1689338	CPO	influx
#1689455	CPO	influx
#1689624	CPO	elastic
#1718584	CPO	influx
#1718585	CPO	influx
#1718970	CPO	influx
#1718974	CPO	influx
#1720424	CPO	influx
#1720425	CPO	influx
#1720426	CPO	influx
#1720427	CPO	influx
#1728168	CPO	influx
#1728169	CPO	influx
#1728175	CPO	influx
#1728178	CPO	influx
#1728179	CPO	influx
#1728181	CPO	influx
#1779061	CPO	elastic
#1785013	CPO	influx
#1796691	CPO	elastic
#1797324	CPO	elastic
#1797518	CPO	elastic
#1797522	CPO	elastic
#1797528	CPO	elastic
#1800326	CPO	influx
#1825929	CPO	elastic
#1825930	CPO	elastic
#1825931	CPO	elastic
#1825932	CPO	elastic
#1825937	CPO	elastic
#1830847	CPO	elastic
#1830849	CPO	elastic
#1845928	CPO	gitlab-runner11
#1845929	CPO	gitlab-runner10
#1884270	CPO	gitlab-runner14
#1894879	CPO	influx
#1894880	CPO	influx
#1894881	CPO	influx
#1894882	CPO	influx
#1894883	CPO	influx
#1894884	CPO	influx
#1895216	CPO	influx
#1895218	CPO	influx
